beginyear,medium,imageurl,hex_color
1861,painting,"https://api.nga.gov/iiif/d29a364c-53dc-4834-97c8-631b272351f6/full/!200,200/0/default.jpg","143, 127, 97"
1890,painting,"https://api.nga.gov/iiif/aebdb01a-10f8-406f-9b7d-210281d4af11/full/!200,200/0/default.jpg","125, 138, 105"
1890,painting,"https://api.nga.gov/iiif/7d6db742-9e1b-46b6-a05d-dcd7039a21e4/full/!200,200/0/default.jpg","129, 132, 101"
1861,painting,"https://api.nga.gov/iiif/ae4ebe90-eed0-47be-bbc3-c4d191ceaf2c/full/!200,200/0/default.jpg","144, 124, 91"
1863,painting,"https://api.nga.gov/iiif/0d7d9fb4-a3ff-42e4-93d3-90cbd89578e9/full/!200,200/0/default.jpg","127, 122, 108"
1861,painting,"https://api.nga.gov/iiif/29564844-aea0-40cd-b022-0fe6b5e5f5b1/full/!200,200/0/default.jpg","128, 102, 71"
1861,painting,"https://api.nga.gov/iiif/ae4ebe90-eed0-47be-bbc3-c4d191ceaf2c/full/!200,200/0/default.jpg","144, 124, 91"
1490,painting,"https://api.nga.gov/iiif/d03d911a-9d6d-4eb5-ab44-298db3d40c10/full/!200,200/0/default.jpg","141, 103, 58"
1861,painting,"https://api.nga.gov/iiif/5b81b623-79e2-45f1-a07d-26b3d9d04e64/full/!200,200/0/default.jpg","168, 143, 103"
1861,painting,"https://api.nga.gov/iiif/ce9bbbbe-adc3-4cde-94e1-7c74a61e95e5/full/!200,200/0/default.jpg","179, 141, 91"
1855,painting,"https://api.nga.gov/iiif/2ad824ec-d2b5-4653-b192-74f4c360b770/full/!200,200/0/default.jpg","134, 118, 93"
1770,painting,"https://api.nga.gov/iiif/cd91de24-4a9e-44ac-a5ec-401ec5a53caf/full/!200,200/0/default.jpg","153, 119, 66"
1873,painting,"https://api.nga.gov/iiif/4196f97b-1edb-4fae-aa9f-882afe35978b/full/!200,200/0/default.jpg","128, 136, 110"
1883,painting,"https://api.nga.gov/iiif/de9ed4a3-3aed-4e56-b4c0-8c64a6ca4cc5/full/!200,200/0/default.jpg","154, 138, 106"
1855,painting,"https://api.nga.gov/iiif/46ba4127-22c3-4d9f-987e-1b11a172f5b3/full/!200,200/0/default.jpg","141, 122, 99"
1861,painting,"https://api.nga.gov/iiif/2937014d-0a8a-4a3c-83e9-6c6f1a4263ee/full/!200,200/0/default.jpg","157, 150, 120"
1861,painting,"https://api.nga.gov/iiif/0bb3a526-1b8b-465f-9fe5-0701b54c3cb3/full/!200,200/0/default.jpg","153, 130, 93"
1864,painting,"https://api.nga.gov/iiif/8175e345-711c-463c-9192-9814abaac5b6/full/!200,200/0/default.jpg","163, 148, 103"
1861,painting,"https://api.nga.gov/iiif/42df509f-4da2-4c79-9420-bb3a05ff6d31/full/!200,200/0/default.jpg","131, 113, 83"
1876,painting,"https://api.nga.gov/iiif/05a612fd-23ad-4862-8ba2-84811c563c5a/full/!200,200/0/default.jpg","136, 116, 98"
1861,painting,"https://api.nga.gov/iiif/78d57e7c-40ed-4842-9912-fc5228e91e83/full/!200,200/0/default.jpg","148, 131, 101"
1861,painting,"https://api.nga.gov/iiif/2061b7ed-0e95-49ca-854c-cd9856858d20/full/!200,200/0/default.jpg","159, 131, 89"
1861,painting,"https://api.nga.gov/iiif/d54690df-49b8-4864-8635-dca6f832f673/full/!200,200/0/default.jpg","160, 139, 101"
1861,painting,"https://api.nga.gov/iiif/d9549006-9ec8-43b9-9c78-53a107a527fc/full/!200,200/0/default.jpg","136, 121, 93"
1854,painting,"https://api.nga.gov/iiif/f6a3c2a4-2ac6-44e2-9150-96c9db506529/full/!200,200/0/default.jpg","131, 115, 84"
1854,painting,"https://api.nga.gov/iiif/b3b2d99d-ef9a-4ced-9e62-508d64002a75/full/!200,200/0/default.jpg","146, 128, 101"
1861,painting,"https://api.nga.gov/iiif/aa795815-e47a-472d-b593-2677bae93fa3/full/!200,200/0/default.jpg","150, 124, 87"
1861,painting,"https://api.nga.gov/iiif/3c1508e9-9540-4ee5-8b74-53d15ac8be27/full/!200,200/0/default.jpg","148, 128, 99"
1861,painting,"https://api.nga.gov/iiif/6d9ac4fc-c99f-418a-800e-0f0ebd0be36f/full/!200,200/0/default.jpg","123, 117, 94"
1861,painting,"https://api.nga.gov/iiif/ec1d8272-6c01-41ac-8768-e2712398f065/full/!200,200/0/default.jpg","152, 127, 89"
1861,painting,"https://api.nga.gov/iiif/96c9561e-e423-4ec0-969e-ddd8479bb7e4/full/!200,200/0/default.jpg","133, 118, 91"
1854,painting,"https://api.nga.gov/iiif/c5bd3424-cd10-4851-b171-8d65cf94b4ec/full/!200,200/0/default.jpg","159, 143, 116"
1854,painting,"https://api.nga.gov/iiif/e9f5fd32-a8d9-41ce-aba7-53712ce7b252/full/!200,200/0/default.jpg","151, 132, 102"
1861,painting,"https://api.nga.gov/iiif/9516feae-fcd3-44ff-9e93-fc9fa39ad063/full/!200,200/0/default.jpg","148, 139, 108"
1861,painting,"https://api.nga.gov/iiif/72a07618-7016-49fd-86bd-46792835b842/full/!200,200/0/default.jpg","134, 120, 90"
1854,painting,"https://api.nga.gov/iiif/f4c1a14d-a826-4b05-ba30-846503425393/full/!200,200/0/default.jpg","153, 134, 106"
1861,painting,"https://api.nga.gov/iiif/0ee4ce32-e06d-463a-9c37-a1390168525e/full/!200,200/0/default.jpg","125, 121, 101"
1847,painting,"https://api.nga.gov/iiif/9c3e4621-c4b2-418e-80b9-10597ffb6b1f/full/!200,200/0/default.jpg","139, 188, 167"
1861,painting,"https://api.nga.gov/iiif/0bdddddc-a323-44c0-a46c-61b6e910d35c/full/!200,200/0/default.jpg","137, 124, 90"
1861,painting,"https://api.nga.gov/iiif/68734012-935b-4be9-9ece-69dcb4561583/full/!200,200/0/default.jpg","133, 117, 87"
1861,painting,"https://api.nga.gov/iiif/35c2b45f-16cd-4f3d-adae-b5e65fe51290/full/!200,200/0/default.jpg","127, 134, 114"
1861,painting,"https://api.nga.gov/iiif/59a6d410-ee64-4724-94a5-0aaddf8802d0/full/!200,200/0/default.jpg","152, 126, 95"
1861,painting,"https://api.nga.gov/iiif/95cea25c-e880-4054-bc81-15ea37a5eb8a/full/!200,200/0/default.jpg","152, 144, 110"
1861,painting,"https://api.nga.gov/iiif/48f54fb5-c87b-404d-a3e1-faaabcbc618f/full/!200,200/0/default.jpg","188, 146, 103"
1861,painting,"https://api.nga.gov/iiif/d3dbb5b9-0b71-4b7d-8ad2-18fcfdf06757/full/!200,200/0/default.jpg","161, 138, 103"
1861,painting,"https://api.nga.gov/iiif/c287ab96-1e07-4f0e-a607-2fd184c09148/full/!200,200/0/default.jpg","151, 133, 90"
1834,painting,"https://api.nga.gov/iiif/e69c25bb-f772-4ac2-966f-2954eb420a84/full/!200,200/0/default.jpg","160, 163, 143"
1861,painting,"https://api.nga.gov/iiif/922237fa-8c07-4f93-ad65-460bf2d11bac/full/!200,200/0/default.jpg","141, 126, 88"
1855,painting,"https://api.nga.gov/iiif/1df1e604-3a6a-4427-a6a0-9f16a58581b3/full/!200,200/0/default.jpg","132, 113, 85"
1861,painting,"https://api.nga.gov/iiif/0a590881-f637-4337-ab55-6c0c2cf8eb98/full/!200,200/0/default.jpg","138, 130, 102"
1861,painting,"https://api.nga.gov/iiif/3e054547-2cc5-4b32-8121-7c81aa3f1af9/full/!200,200/0/default.jpg","179, 142, 102"
1861,painting,"https://api.nga.gov/iiif/121782f7-b1ac-424a-bc3a-46822d5184c8/full/!200,200/0/default.jpg","181, 156, 108"
1861,painting,"https://api.nga.gov/iiif/084450ec-ad00-4c87-8509-66df3dce8cb2/full/!200,200/0/default.jpg","133, 120, 92"
1861,painting,"https://api.nga.gov/iiif/376bfff9-e255-478b-b05d-c4047ab07905/full/!200,200/0/default.jpg","132, 108, 80"
1861,painting,"https://api.nga.gov/iiif/d906bf7b-79e1-4c8a-adeb-6cdcf2287f28/full/!200,200/0/default.jpg","133, 115, 87"
1861,painting,"https://api.nga.gov/iiif/aa795815-e47a-472d-b593-2677bae93fa3/full/!200,200/0/default.jpg","150, 124, 87"
1861,painting,"https://api.nga.gov/iiif/ec0a9865-44a2-4560-b1b2-d86299be150c/full/!200,200/0/default.jpg","151, 134, 88"
1861,painting,"https://api.nga.gov/iiif/81e40269-c743-4ff3-bffe-0930c374bfce/full/!200,200/0/default.jpg","131, 168, 141"
1861,painting,"https://api.nga.gov/iiif/c287ab96-1e07-4f0e-a607-2fd184c09148/full/!200,200/0/default.jpg","151, 133, 90"
1861,painting,"https://api.nga.gov/iiif/c287ab96-1e07-4f0e-a607-2fd184c09148/full/!200,200/0/default.jpg","151, 133, 90"
1861,painting,"https://api.nga.gov/iiif/351e720e-3da7-447a-b90a-1746ee6418d1/full/!200,200/0/default.jpg","128, 109, 76"
1861,painting,"https://api.nga.gov/iiif/60707766-2bf0-4380-a186-bd2c74ea2b4d/full/!200,200/0/default.jpg","169, 137, 96"
1800,painting,"https://api.nga.gov/iiif/428f2792-94ec-4fcd-80c5-ff2ec20cb376/full/!200,200/0/default.jpg","145, 113, 70"
1874,painting,"https://api.nga.gov/iiif/a0d45209-46bf-49c4-a6ba-8c0a1e1ea482/full/!200,200/0/default.jpg","126, 151, 128"
1861,painting,"https://api.nga.gov/iiif/68734012-935b-4be9-9ece-69dcb4561583/full/!200,200/0/default.jpg","133, 117, 87"
1861,painting,"https://api.nga.gov/iiif/0bdddddc-a323-44c0-a46c-61b6e910d35c/full/!200,200/0/default.jpg","137, 124, 90"
1890,painting,"https://api.nga.gov/iiif/8aa9f97e-ab5f-4d0e-aa9c-248784f7df58/full/!200,200/0/default.jpg","137, 118, 85"
1854,painting,"https://api.nga.gov/iiif/04e094c1-89c8-47eb-967b-639bbaf342b9/full/!200,200/0/default.jpg","147, 139, 108"
1854,painting,"https://api.nga.gov/iiif/a3481409-f18f-4c6a-9ff6-972ad10cd13a/full/!200,200/0/default.jpg","162, 141, 114"
1850,painting,"https://api.nga.gov/iiif/93d635dc-374b-4205-a41c-0bde5c40e927/full/!200,200/0/default.jpg","135, 116, 96"
1900,painting,"https://api.nga.gov/iiif/2142234c-6ff3-43c7-a026-91c90a0bb86c/full/!200,200/0/default.jpg","124, 105, 85"
1861,painting,"https://api.nga.gov/iiif/40657d7e-9d68-4a7a-a243-9c0a6f8f186f/full/!200,200/0/default.jpg","138, 114, 83"
1890,painting,"https://api.nga.gov/iiif/b479275a-4f8a-4702-83c2-9dcc4cbe60ce/full/!200,200/0/default.jpg","151, 186, 148"
1889,painting,"https://api.nga.gov/iiif/1e92536c-e274-4c31-bbe9-cdb6aba6c162/full/!200,200/0/default.jpg","163, 113, 67"
1880,painting,"https://api.nga.gov/iiif/5bfb4c45-feb8-4dbb-8b77-519c0560dcaf/full/!200,200/0/default.jpg","122, 119, 79"
1790,painting,"https://api.nga.gov/iiif/b5a25512-bc7d-449c-ba5b-fd091ae27ec0/full/!200,200/0/default.jpg","130, 89, 64"
1872,painting,"https://api.nga.gov/iiif/56303f18-6101-4d5d-9b03-20b58d657afa/full/!200,200/0/default.jpg","127, 149, 154"
1861,painting,"https://api.nga.gov/iiif/0a9e2730-388a-43c6-8713-e61f766e2f92/full/!200,200/0/default.jpg","181, 154, 120"
1861,painting,"https://api.nga.gov/iiif/ae4ebe90-eed0-47be-bbc3-c4d191ceaf2c/full/!200,200/0/default.jpg","144, 124, 91"
1861,painting,"https://api.nga.gov/iiif/aa795815-e47a-472d-b593-2677bae93fa3/full/!200,200/0/default.jpg","150, 124, 87"
1854,painting,"https://api.nga.gov/iiif/f4c1a14d-a826-4b05-ba30-846503425393/full/!200,200/0/default.jpg","153, 134, 106"
1861,painting,"https://api.nga.gov/iiif/d54690df-49b8-4864-8635-dca6f832f673/full/!200,200/0/default.jpg","160, 139, 101"
1861,painting,"https://api.nga.gov/iiif/ec1d8272-6c01-41ac-8768-e2712398f065/full/!200,200/0/default.jpg","152, 127, 89"
1884,painting,"https://api.nga.gov/iiif/a65a3648-e5a9-48a5-82c6-e002562a2baa/full/!200,200/0/default.jpg","158, 144, 103"
1890,painting,"https://api.nga.gov/iiif/a65b56d8-7ae7-4a80-a84a-5a9dd7c13ea7/full/!200,200/0/default.jpg","120, 108, 94"
1854,painting,"https://api.nga.gov/iiif/75759cd7-2e0c-492c-a26c-eadd223144b9/full/!200,200/0/default.jpg","152, 131, 104"
1861,painting,"https://api.nga.gov/iiif/fbfd7f9b-bc00-4cde-b2cd-b3ccd72414b5/full/!200,200/0/default.jpg","140, 131, 101"
1861,painting,"https://api.nga.gov/iiif/800b6ecd-07d9-4674-8981-1c838614d257/full/!200,200/0/default.jpg","141, 119, 86"
1861,painting,"https://api.nga.gov/iiif/e857c807-4c6a-4467-b0d8-d1d29d902aee/full/!200,200/0/default.jpg","140, 118, 87"
1861,painting,"https://api.nga.gov/iiif/34aa0a0e-6f59-4804-a3a0-881346daaac2/full/!200,200/0/default.jpg","140, 122, 92"
1855,painting,"https://api.nga.gov/iiif/03b921f2-0b79-407d-b49e-8f3260aa77d5/full/!200,200/0/default.jpg","152, 133, 105"
1861,painting,"https://api.nga.gov/iiif/f1e5a21b-263b-432f-85ba-903f19496b6c/full/!200,200/0/default.jpg","167, 132, 84"
1854,painting,"https://api.nga.gov/iiif/10ba6d65-e31d-4e34-ad82-88587dfd941d/full/!200,200/0/default.jpg","135, 123, 90"
1861,painting,"https://api.nga.gov/iiif/bde7e0a1-6ef1-4c60-bb79-11f1775ab792/full/!200,200/0/default.jpg","128, 104, 75"
1861,painting,"https://api.nga.gov/iiif/f6147ee0-6487-460d-8574-fd170d203a74/full/!200,200/0/default.jpg","141, 127, 90"
1861,painting,"https://api.nga.gov/iiif/457c21c8-0b7e-490d-98ab-7b195da8ed2d/full/!200,200/0/default.jpg","166, 129, 93"
1861,painting,"https://api.nga.gov/iiif/96c9561e-e423-4ec0-969e-ddd8479bb7e4/full/!200,200/0/default.jpg","133, 118, 91"
1855,painting,"https://api.nga.gov/iiif/5c029a9f-d5f7-4b1d-8fe0-dff8c20fc6f3/full/!200,200/0/default.jpg","136, 119, 87"
1861,painting,"https://api.nga.gov/iiif/7f2ea406-e2bb-4b38-8d07-106fa275137a/full/!200,200/0/default.jpg","136, 123, 92"
1854,painting,"https://api.nga.gov/iiif/f4c1a14d-a826-4b05-ba30-846503425393/full/!200,200/0/default.jpg","153, 134, 106"
1861,painting,"https://api.nga.gov/iiif/e532ae6d-708f-4e54-a259-6014efdbcea7/full/!200,200/0/default.jpg","132, 129, 95"
1861,painting,"https://api.nga.gov/iiif/7ea90668-980f-4d44-a614-e1612cd0567a/full/!200,200/0/default.jpg","137, 116, 87"
1825,painting,"https://api.nga.gov/iiif/40bb6453-0326-4377-8ffd-872226a0e5d8/full/!200,200/0/default.jpg","124, 133, 130"
1861,painting,"https://api.nga.gov/iiif/09714ae7-7c7f-4e00-a33b-efff7cc1cf06/full/!200,200/0/default.jpg","141, 127, 100"
1861,painting,"https://api.nga.gov/iiif/42404406-6796-4738-a421-6cd5cc7bfde4/full/!200,200/0/default.jpg","154, 133, 102"
1876,painting,"https://api.nga.gov/iiif/b41b3b70-af77-439b-a980-4e1434070111/full/!200,200/0/default.jpg","158, 160, 128"
1861,painting,"https://api.nga.gov/iiif/5a6b8044-6f5d-4bee-a82f-7a75f22be473/full/!200,200/0/default.jpg","157, 135, 96"
1890,painting,"https://api.nga.gov/iiif/92bf6016-0d0e-4739-999f-cc7e2bafcbaf/full/!200,200/0/default.jpg","141, 112, 61"
1854,painting,"https://api.nga.gov/iiif/d1d920f3-e25e-4c45-ab4b-2e15b0edabd5/full/!200,200/0/default.jpg","146, 126, 102"
1855,painting,"https://api.nga.gov/iiif/3bb66a1d-6b79-4a63-b397-a300ac41b6e1/full/!200,200/0/default.jpg","139, 129, 108"
1470,painting,"https://api.nga.gov/iiif/f2087521-95a8-42e9-b383-712221c3b31b/full/!200,200/0/default.jpg","128, 111, 82"
1861,painting,"https://api.nga.gov/iiif/d7f45e79-4301-4461-899c-6144145f678b/full/!200,200/0/default.jpg","159, 120, 77"
1861,painting,"https://api.nga.gov/iiif/0bb3a526-1b8b-465f-9fe5-0701b54c3cb3/full/!200,200/0/default.jpg","153, 130, 93"
1861,painting,"https://api.nga.gov/iiif/22d3381d-2bd2-4998-a7f8-eaaffe13323e/full/!200,200/0/default.jpg","140, 121, 91"
1847,painting,"https://api.nga.gov/iiif/132475be-828c-4c42-8b39-8da2aaaf0eae/full/!200,200/0/default.jpg","137, 114, 63"
1730,painting,"https://api.nga.gov/iiif/1804fdc0-8b6a-44ab-8db5-ab29d8cfa1b0/full/!200,200/0/default.jpg","134, 117, 91"
1861,painting,"https://api.nga.gov/iiif/7ea90668-980f-4d44-a614-e1612cd0567a/full/!200,200/0/default.jpg","137, 116, 87"
1861,painting,"https://api.nga.gov/iiif/f9c07f9f-2661-4a22-9374-d1dbf222580e/full/!200,200/0/default.jpg","150, 130, 95"
1855,painting,"https://api.nga.gov/iiif/798e9728-9270-4e95-8427-935c6b2553f2/full/!200,200/0/default.jpg","134, 114, 86"
1861,painting,"https://api.nga.gov/iiif/6d1d705d-cfac-41a9-bb14-6cb013051cee/full/!200,200/0/default.jpg","156, 133, 96"
1861,painting,"https://api.nga.gov/iiif/3c0d78e8-bd6d-4eae-ae1b-9bc565fdacc8/full/!200,200/0/default.jpg","157, 131, 82"
1861,painting,"https://api.nga.gov/iiif/e532ae6d-708f-4e54-a259-6014efdbcea7/full/!200,200/0/default.jpg","132, 129, 95"
1861,painting,"https://api.nga.gov/iiif/72a07618-7016-49fd-86bd-46792835b842/full/!200,200/0/default.jpg","134, 120, 90"
1854,painting,"https://api.nga.gov/iiif/2c60aee3-9a72-476b-a738-eb02793b9bf1/full/!200,200/0/default.jpg","147, 125, 96"
1861,painting,"https://api.nga.gov/iiif/670d001b-e601-4100-a5fe-04ec70fbf1f0/full/!200,200/0/default.jpg","144, 126, 92"
1861,painting,"https://api.nga.gov/iiif/1481eff0-180d-4398-bbf4-edf7ad1d64dc/full/!200,200/0/default.jpg","150, 127, 98"
1861,painting,"https://api.nga.gov/iiif/3add67e6-636d-4bfa-b7e9-33e5a9c834f6/full/!200,200/0/default.jpg","148, 137, 113"
1861,painting,"https://api.nga.gov/iiif/e61caf62-535b-4229-a391-c7be92231e07/full/!200,200/0/default.jpg","142, 119, 89"
1445,painting,"https://api.nga.gov/iiif/8958b6e6-a83f-4f6e-b14e-8845b4352b68/full/!200,200/0/default.jpg","169, 134, 75"
1861,painting,"https://api.nga.gov/iiif/96c9561e-e423-4ec0-969e-ddd8479bb7e4/full/!200,200/0/default.jpg","133, 118, 91"
1850,painting,"https://api.nga.gov/iiif/7442ed4b-64f9-40fe-9b19-0e14b630e802/full/!200,200/0/default.jpg","147, 120, 92"
1861,painting,"https://api.nga.gov/iiif/376bfff9-e255-478b-b05d-c4047ab07905/full/!200,200/0/default.jpg","132, 108, 80"
1855,painting,"https://api.nga.gov/iiif/ba6c68e4-c421-41ab-8bfe-832b4b399ea2/full/!200,200/0/default.jpg","145, 127, 102"
1855,painting,"https://api.nga.gov/iiif/a22cc20b-5dac-46b3-a2de-1a51bccbe266/full/!200,200/0/default.jpg","140, 120, 92"
1861,painting,"https://api.nga.gov/iiif/095da846-c1df-4eff-a12c-1f3542ac5dc6/full/!200,200/0/default.jpg","136, 118, 93"
1830,painting,"https://api.nga.gov/iiif/66d80c10-fef1-48ce-82ec-e68f0d39a501/full/!200,200/0/default.jpg","142, 136, 90"
1861,painting,"https://api.nga.gov/iiif/aa795815-e47a-472d-b593-2677bae93fa3/full/!200,200/0/default.jpg","150, 124, 87"
1890,painting,"https://api.nga.gov/iiif/7d6db742-9e1b-46b6-a05d-dcd7039a21e4/full/!200,200/0/default.jpg","129, 132, 101"
1861,painting,"https://api.nga.gov/iiif/35c2b45f-16cd-4f3d-adae-b5e65fe51290/full/!200,200/0/default.jpg","127, 134, 114"
1861,painting,"https://api.nga.gov/iiif/22d3381d-2bd2-4998-a7f8-eaaffe13323e/full/!200,200/0/default.jpg","140, 121, 91"
1861,painting,"https://api.nga.gov/iiif/3add67e6-636d-4bfa-b7e9-33e5a9c834f6/full/!200,200/0/default.jpg","148, 137, 113"
1861,painting,"https://api.nga.gov/iiif/a98f766e-0532-49b3-97ea-74015f188da7/full/!200,200/0/default.jpg","158, 133, 92"
1861,painting,"https://api.nga.gov/iiif/8eea98bf-dd2a-4173-9900-385591c4f0ff/full/!200,200/0/default.jpg","137, 113, 83"
