Year,,technical material,photograph,portfolio,volume,drawing,sculpture,new media,decorative art,painting,print
1310,,,,,,,,,,4,
1333,,,,,,,,,,1,
1387,,,,,,2,,,,4,
1430,,,,,,15,3,,,10,4
1354,,,,,,,,,,4,
1423,,,,,,,,,,1,
1308,,,,,,,,,,2,
1460,,,,,,5,19,,2,6,84
1470,,,,1,,6,65,,1,22,123
1325,,,,,,4,3,,,2,
1490,,,,,,4,22,,3,13,129
1450,,,,,,6,79,,3,6,63
1383,,,,,,1,,,,1,
1475,,2,,,1,4,164,,1,15,45
1482,,,,,,,4,,,5,1
1485,,,,,,8,32,,1,5,24
1478,,,,,,,20,,,2,
1410,,,,,,3,2,,,1,2
1510,,,,,1,14,13,,10,10,66
1508,,,,,,2,6,,1,6,42
1506,,,,,,,10,,,2,27
1515,,,,,1,212,17,,2,11,64
1260,,,,,,,,,,1,
1480,,,,,,6,48,,3,12,277
1492,,,,,1,2,15,,,2,4
1555,,,,,,9,13,,,3,51
1550,,,,,,17,82,,13,11,58
1540,,,,,,9,26,,8,7,39
1520,,,,,,11,14,,9,27,95
1581,,,,,,6,4,,,1,13
1434,,,,,,,,,,1,
1479,,,,,,,8,,,1,2
1621,,,,,,9,,,,3,113
1623,,,,,,2,6,,,8,48
1632,,,,,,1,3,,,2,60
1653,,,,,,2,,,,4,36
1569,,,,,,1,2,,,2,13
1664,,,,,,1,1,,,7,16
1925,,,124,1,34,64,13,,2,13,284
1658,,,,,1,,,,,8,40
1660,,,,,1,10,2,,,17,42
1655,,,,,2,11,2,,,13,36
1668,,,,,,1,2,,,1,6
1663,,,,,,2,2,,,6,19
1665,,,,,,5,2,,,8,31
1538,,,,,,,13,,1,1,13
1527,,,,,,5,8,,2,6,10
1507,,,,,,1,13,,2,1,24
1633,,,,,,6,2,,,6,90
1636,,,,,,1,1,,,1,27
1645,,,,,1,10,3,,,14,307
1646,,,,,,4,,,,6,74
1659,,,,,,4,,,,1,18
1637,,,,,,1,1,,,4,37
1656,,1,,,,4,1,,,3,43
1650,,,,,1,21,5,,7,29,75
1640,,,,,,48,2,,,10,123
1603,,,,,,3,4,,,1,28
1600,,,,,4,93,47,,5,8,399
1786,,,,,,20,2,,,4,22
1799,,,,,3,4,1,,,5,83
1806,,,,,2,21,,,,8,64
1730,,,,,,17,,,,10,36
1737,,,,,,5,2,,,3,5
1740,,,,,2,31,8,,3,9,58
1785,,,,,,25,5,,,8,63
1783,,,,,2,25,1,,,10,35
1770,,,,,1,42,5,,1,17,68
1777,,,,,1,10,6,,,5,49
1802,,,1,,5,5,,,,4,86
1780,,,,,1,65,6,,1,9,67
1781,,,,,2,14,3,,,6,24
1778,,,,,3,25,3,,,4,74
1793,,1,,,,18,4,,,13,51
1796,,,,,11,15,3,,,4,65
1782,,,,1,3,18,5,,1,6,85
1820,,,,,1,44,10,,,15,32
1827,,7,,,,22,1,,,10,73
1844,,,6,,1,11,4,,,6,90
1795,,,,,,24,3,,,13,37
1425,,,,,,6,20,,,2,5
1455,,,,,,1,11,,,5,3
1860,,,177,,2,62,24,,1,20,52
1855,,,142,,,34,4,,,56,88
1825,,,,1,,36,6,,3,35,153
1580,,,,,1,15,6,,2,2,63
1442,,,,,,1,,,,1,8
1380,,,,,,1,,,9,6,
1734,,,,1,,11,,,,3,9
1525,,,,,1,5,87,,11,5,26
1400,,,,,,13,80,,2,6,25
1445,,,,,,3,18,,,9,11
1690,,,,,,8,4,,1,1,26
1744,,,,,1,50,2,,,2,38
1739,,,,,,7,2,,,6,26
1733,,,,,1,11,2,,,5,17
1618,,,,,1,7,3,,,6,72
1620,,,,,,27,6,,1,9,114
1762,,,,,1,15,,,,5,36
1720,,,,,,28,,,,7,27
1760,,,,1,,30,,,,7,59
1775,,,,,1,43,5,,1,11,69
1560,,,,,,12,13,,2,7,45
1522,,,,,,5,10,,1,3,26
1530,,,,,,16,26,,3,9,32
1335,,,,,,,1,,,4,
1505,,1,,,1,5,14,,1,15,39
1340,,,,,,2,4,,,5,
1610,,,,,1,30,8,,,5,155
1500,,,,,1,48,374,,22,20,310
1476,,,,,,1,,,,2,6
1594,,,,,,7,2,,,1,20
1390,,,,,,4,2,,,1,13
1330,,,,,,,1,,1,1,
1474,,,,,,2,8,,,5,1
1435,,,,,,2,4,,,5,
1473,,,,,1,,9,,,3,7
1420,,,,,,5,10,,,1,1
1360,,,,,,,2,,,4,
1468,,,,,,,9,,,1,
1523,,,,,,8,12,,,1,41
1440,,,,,,4,7,,,4,22
1495,,,,,,4,26,,,11,28
1465,,,,,,1,11,,,4,69
1491,,,,,1,2,4,,,5,2
1625,,,,,,15,7,,1,10,33
1489,,,,,,3,5,,,1,6
1750,,,,,,48,4,,32,10,51
1896,,,6,2,3,35,5,,,5,219
1897,,,7,,,34,11,,,5,193
1898,,,12,,,35,6,,1,8,132
1787,,,,,,9,2,,,9,28
1789,,,,,1,8,,,1,4,51
1829,,,1,1,,5,1,,,8,96
1804,,,,,5,15,,,,9,127
1776,,,,,,7,,,,5,39
1626,,,,,,2,,,,6,84
1635,,,,,,12,3,,,5,161
1672,,,,,,2,5,,,1,6
1503,,,,,,1,10,,,,58
1481,,,,,,,8,,,,8
1497,,,,,1,2,6,,,,21
1512,,,,,,37,7,,,2,49
1513,,,,,,6,18,,1,3,105
1518,,,,,1,1,9,,,4,53
1511,,,,,,1,2,,,3,32
1496,,,,,,2,22,,,2,31
1504,,,,,,1,4,,,2,37
1502,,,,,1,2,6,,,,32
1501,,,,,,3,3,,,,13
1472,,,,,,4,11,,,,40
1484,,,,,,,10,,,,4
1519,,,,,,5,17,,,,84
1534,,,,,,,8,,,1,17
1544,,,,,2,11,7,,,2,22
1642,,,,,,,4,,,1,72
1566,,,,,,6,5,,1,1,13
1546,,,,,,3,2,,,2,61
1547,,,,,,1,7,,1,,43
1608,,,,,,3,,,,1,32
1613,,,,,2,7,5,,,,119
1585,,,,,1,7,6,,,1,52
1612,,,,,1,8,4,,,1,162
1815,,,1,,,26,4,,,9,16
1735,,,,,1,6,,,,3,91
1741,,,,,,3,3,,,1,57
1517,,,,,,1,4,,,2,21
1742,,,,,2,3,,,,4,42
1759,,,,,1,6,,,,1,55
1749,,,,,,9,,,,5,20
1535,,,,,1,7,14,,5,6,22
1541,,,,,,3,13,,,2,8
1543,,,,,,,12,,,3,18
1531,,,,,,2,2,,,,9
1514,,,,,,9,2,,,1,58
1516,,,,,1,2,8,,,2,60
1462,,,,,,,8,,,,8
1638,,,,,,4,,,,2,49
1654,,,,,,4,2,,,1,38
1639,,,,,,1,2,,,,36
1641,,,,,,1,2,,,1,53
1615,,,,,1,17,2,,,3,47
1866,,,19,1,3,30,1,,,22,69
1862,,,46,2,2,31,1,,,7,103
1853,,,35,,1,4,2,,,4,42
1830,,,1,,,36,10,,4,31,66
1807,,,,,5,4,,,,2,69
1808,,13,,,3,41,,,,7,132
1811,,,,,3,12,,,,3,38
1812,,,,,,20,1,,,3,35
1816,,,,1,1,10,7,,,8,94
1819,,,1,,,15,2,,,4,34
1894,,1,158,1,,15,6,,,15,224
1865,,,73,,,94,6,,,22,40
1661,,,,,,1,4,,,3,22
1578,,,,,,8,6,,,1,12
1622,,,,,,2,1,,,4,275
1627,,,,,1,9,,,,3,53
1624,,,,,,4,7,,,3,77
1696,,,,,,8,,,,1,19
1753,,,,,,7,2,,,2,57
1752,,,,,1,24,,,,,51
1933,,,156,,3,31,8,,,15,237
1803,,,,,6,18,2,,1,7,89
1681,,,,,,2,,,,,71
1941,,1,480,,2,771,10,,,8,188
1875,,1,9,,1,37,7,,2,24,87
1868,,,19,1,1,17,2,,,11,62
1880,,,22,2,4,69,24,,,21,253
1900,,,52,2,1,147,15,,2,20,151
1885,,,14,,,39,22,,4,12,87
1904,,,35,1,2,24,4,,,6,115
1878,,1,5,1,1,33,13,,,10,99
1884,,,5,,1,762,4,,,13,85
1902,,,24,,2,21,6,,1,6,120
1899,,1,31,1,19,143,2,,,5,138
1906,,,16,,1,26,12,,,16,110
1905,,,25,1,,35,7,,,15,182
1917,,,27,,5,53,6,,,18,166
1882,,,5,,,31,6,,,21,51
1887,,,753,,,23,2,,,10,123
1850,,,73,,,40,14,,4,32,95
1909,,,24,1,,29,8,,,14,144
1840,,,4,1,,47,15,,,27,74
1908,,,19,,1,29,7,,1,15,141
1881,,,2,,2,16,5,,,12,42
1883,,,2,1,1,32,2,,,19,143
1907,,,49,,,26,1,,,13,109
1923,,,169,2,7,75,2,,,8,245
1903,,,23,,3,687,2,,,9,102
1927,,,108,1,,61,6,,,7,324
1876,,,1,,1,151,5,,,19,63
1913,,,21,,6,48,13,,,17,196
1915,,,60,1,10,65,9,,1,11,140
1920,,,107,2,27,70,6,,,11,359
1879,,1,9,,2,35,3,,,14,199
1911,,,25,1,,30,6,,,15,125
1891,,,15,,,44,8,,,17,139
1877,,,7,,1,34,4,,,15,52
1859,,,24,,1,39,1,,1,5,102
1864,,,45,,1,25,1,,,14,56
1924,,,118,,5,47,6,,,10,206
1926,,,82,,3,27,6,,,14,229
1916,,,56,,4,45,12,,,11,198
1919,,6,79,,4,59,3,,1,10,295
1910,,,48,,2,52,9,,3,32,197
1912,,,66,,3,65,1,,,20,209
1756,,,,,4,13,1,,,6,57
1835,,,2,,,29,4,,,22,81
1772,,,,,,7,,,,4,25
1849,,,10,1,1,16,3,,,5,133
1794,,,,,1,21,,,,2,25
1798,,,,1,10,18,,,,2,145
1784,,,,,2,9,,,1,2,48
1824,,,3,1,2,29,4,,,7,28
1832,,,1,,,9,38,,,3,51
1834,,,,,,13,2,,,9,119
1845,,,36,,,33,24,,,23,106
1828,,1,,,1,15,2,,,6,36
1743,,,,,3,5,3,,1,2,27
1818,,,,,,8,2,,,6,39
1872,,,11,,2,19,4,,,22,25
1871,,,17,3,,20,1,,,8,103
1890,,,98,1,2,210,22,,1,39,174
1597,,,,,,10,1,,,2,30
1648,,,,,,2,2,,,6,52
1662,,,,,,2,2,,122,1,35
1670,,,,,,13,3,,,8,17
1791,,,,1,,12,,,,4,37
1528,,,,,,6,6,,,1,40
1792,,,,,1,21,,,,3,23
1488,,,,,,3,14,,,1,6
1575,,,,,5,288,16,,2,3,17
1673,,,,,,1,2,,,2,32
1493,,,,,2,2,6,,,1,6
1863,,,54,,,23,7,,,13,55
1790,,,,,,49,,,,20,24
1657,,,,,,9,,,,3,37
1634,,,,,,6,4,,,4,128
1874,,,1,,2,37,7,,,16,65
1758,,,,,2,15,,,,2,38
1800,,,4,,5,86,27,,10,33,835
1628,,,,,,3,3,,,2,108
1921,,,69,1,4,31,7,,,6,203
1700,,,,2,,85,37,,16,12,61
1461,,,,,,,6,,,1,
1716,,,,,,5,2,,,1,5
1710,,,,,,11,2,,,2,16
1542,,,,,,2,5,,,1,14
1487,,,,,,1,5,,,,
1574,,,,,,1,4,,,,5
1499,,,,,,2,8,,,,6
1477,,,,,1,,13,,,1,2
1453,,,,,,,5,,,,4
1446,,,,,,,12,,,,
1441,,,,,,,14,,,,
1537,,,,,,2,15,,,1,54
1452,,,,,,,11,,,,16
1398,,,,,,,8,,,1,
1404,,,,,,,4,,,,
1561,,,,,,6,15,,,1,23
1386,,,,,,,1,,,,
1573,,,,,,3,4,,2,,8
1137,,,,,,,,,1,,
1175,,,,,,2,,,1,,
1200,,,,,,,,,4,,1
1150,,,,,,3,,,1,,
1220,,,,,,,,,1,,
1570,,,,,1,15,14,,1,7,38
1562,,,,,,3,16,,1,,14
1590,,,,,1,22,7,,1,5,92
1870,,,28,,1,162,16,,1,16,105
1498,,,,,,2,11,,2,,38
1524,,,,,,8,6,,3,,16
1526,,,,,,3,13,,1,,21
1539,,,,,,10,6,,1,2,15
1532,,,,,,3,11,,4,2,11
1529,,,,,,5,6,,1,1,19
1466,,,,,,,12,,1,,5
1745,,,,,,18,,,3,3,56
1767,,,,,1,10,2,,2,3,45
1779,,,,,1,9,,,1,1,55
1764,,,,,,13,,,1,7,53
1725,,,,,,7,2,,17,6,17
1723,,,,,1,4,,,15,,29
1751,,,,,1,2,2,,1,1,16
1675,,1,,,3,9,6,,9,7,10
1736,,,,,1,6,2,,8,,40
1521,,,,,,6,5,,,,54
1606,,,,,,19,,,,1,40
1652,,,,,,8,2,,,2,62
1757,,1,,,2,7,2,,,1,22
1765,,,,,1,29,1,,,5,35
1766,,,,,1,11,,,,1,26
1769,,,,,1,18,,,,2,27
1732,,,,,,15,,,,1,16
1729,,,,,2,12,2,,,2,14
1773,,,,,1,8,4,,,4,34
1797,,,,,8,16,,,,1,104
1774,,,,,1,11,3,,,4,46
1721,,,,,1,3,,,,,9
1761,,,,,4,5,4,,,2,64
1719,,,,,,1,2,,,1,32
1746,,,,,,8,2,,,1,23
1680,,,,,,8,8,,,,24
1731,,,,,2,8,6,,,2,88
1788,,,,,2,8,2,,,7,35
1738,,,,,3,6,,,,2,30
1707,,,,,,,,,,1,21
1810,,,,,2,20,3,,,16,39
1801,,,,,5,10,1,,,3,62
1805,,,,,4,33,2,,,3,76
1703,,,,,,3,2,,,,7
1715,,,,,,7,3,,,2,19
1768,,,,,1,11,1,,,1,32
1771,,,,,1,5,,,,1,73
1754,,,,,2,47,1,,,4,33
1748,,,,,1,14,2,,,,64
1763,,,,,1,15,1,,,1,62
1727,,,,,1,21,2,,,,12
1814,,,,,,12,3,,,7,16
1724,,,,,1,13,1,,,,17
1852,,,31,,,137,2,,,7,132
1895,,,33,,2,78,1,,,17,248
1848,,,9,,,15,10,,,9,84
1486,,,,,,,10,,,,2
1914,,,53,3,3,131,4,,,9,165
1614,,,,,,4,2,,,3,47
1554,,,,,,6,17,,,,21
1553,,,,,1,9,8,,,,49
1533,,,,,1,1,3,,1,,5
1551,,,,,,,9,,1,,17
1536,,,,,,,4,,1,2,6
1549,,,,,1,2,6,,,,36
1552,,1,,,,24,23,,1,1,24
1619,,,,,,,2,,,,100
1936,,,167,3,,4436,8,,1,17,423
1935,,,162,1,1,3670,5,,,13,652
1940,,,124,1,,1728,5,,,18,454
1930,,,205,7,3,85,13,,,10,429
1929,,,121,1,2,33,9,,,11,295
1509,,,,,,5,,,,2,80
1449,,,,,,,9,,,,1
1483,,,,,,4,3,,,,4
1592,,,,,1,4,4,,,,348
1494,,,,,,,13,,,,3
1892,,,3,1,3,48,7,,,10,142
1558,,,,,,3,4,,,1,43
1631,,,,,,3,4,,,,136
1922,,,156,4,2,90,6,,,12,299
1938,,,190,2,2,2346,5,,,12,287
1928,,,73,2,1,70,2,,,13,317
1545,,,,,,5,8,,,2,33
1548,,,,,,9,2,,,1,56
1889,,,13,1,,24,11,,,13,136
1847,,,8,,,19,8,,,29,205
1886,,,71,,1,21,3,,,11,121
1931,,,175,1,2,28,8,,,8,228
1934,,1,132,3,1,30,6,,,14,256
1932,,3,130,1,5,49,7,,,12,244
1873,,1,5,,1,18,1,,,13,53
1918,,,108,,15,113,13,,,10,174
1937,,,119,3,2,3450,7,,,22,409
1584,,,,,,3,5,,,,9
1942,,,168,,,234,3,,1,12,221
1888,,,5,,1,29,3,,,21,129
1901,,,30,1,,20,4,,,10,76
1939,,1,69,,1,1878,4,,,13,270
1651,,,,,,,,,,1,86
1616,,,,,,7,,,,5,62
1822,,,,,1,11,3,,,5,29
1861,,,18,2,1,17,3,,,189,72
1809,,,,,1,15,3,,,2,117
1728,,1,,,1,11,4,,,1,11
1821,,,,,1,25,2,,,8,43
1826,,,,,,14,2,,,7,19
1854,1,,57,1,,14,5,,,93,69
1611,,,,,,2,4,,,1,6
1559,,,,,1,4,8,,,,59
1893,,,32,1,,53,6,,,10,229
1630,,,,,,22,7,,,9,106
1851,,,9,1,,10,1,,,6,87
1841,,,3,,1,14,7,,,4,75
1582,,,,,,9,4,,,,23
1831,,,,1,,16,13,,,8,59
1833,,,,,,20,4,,,10,91
1838,,,2,,1,14,6,,,7,120
1842,,,1,1,1,13,2,,,6,64
1839,,,2,,,21,4,,,6,78
1843,,,18,,,10,4,,,10,71
1846,,,7,,,5,6,,,6,110
1644,,,,,,6,2,,1,1,45
1714,,,,,,7,2,,,,5
1837,,,,,,93,7,,,15,648
1867,,,15,,,41,4,,,11,39
1858,,,68,,,34,4,,,11,82
1836,,,,,,13,5,,,5,111
1857,,,34,,1,17,16,,,11,52
1943,,,103,2,2,109,6,,,10,175
1685,,,,,,9,2,,,4,24
1702,,,,,,6,,,,,23
1679,,,,,,,,,,,3
1676,,,,,1,2,2,,,1,53
1869,,1,6,,1,17,1,,,16,63
1747,,,,,4,4,2,,,2,20
1588,,,,,,1,3,,,,30
1586,,,,,,3,,,,,32
1565,,,,,,11,7,,2,,29
1595,,,,,1,12,,,1,1,38
1583,,,,,,,,,,1,8
1601,,,,,1,6,6,,,,6
1587,,,,,,2,,,,,39
1596,,,,,1,7,,,,1,63
1471,,,,,,,5,,,,10
1649,,,,,,3,,,,4,52
1607,,,,,,7,3,,,1,63
1643,,,,,,6,,,,,56
1647,,,,,,3,,,,,88
1698,,,,,,7,2,,,,9
1605,,,,,,8,2,,,,38
1991,,,117,1,1,19,7,,,4,163
1687,,,,,1,2,,,,1,4
1599,,,,,,6,,,,,17
1667,,,,,,1,10,,,3,10
1457,,,,,,,10,,,,3
1572,,,,,,2,5,,,1,38
1577,,,,,,4,8,,,1,3
1571,,,,,,5,15,,,1,5
1856,,,28,,1,12,2,,,11,83
1666,,,,,,1,,,,3,10
1671,,,,,,12,,,,,8
1674,,,,,1,1,,,,,5
1678,,,,,1,1,4,,,,8
1669,,,,,,2,2,,,,5
1677,,,,,,2,2,,,,5
1598,,,,,,4,2,,,,51
1755,,,,,,143,1,,,10,48
1629,,,,,,3,2,,,3,16
1458,,,,,,,10,,,,1
1609,,,,,,4,,,,,38
1617,,,,1,,5,,,,2,106
1567,,,,,,9,2,,,,8
1593,,,,,,1,,,,1,59
1684,,,,,,4,4,,,,10
1579,,,,,,2,4,,,,19
1944,,,115,,2,106,4,,,15,156
1557,,,,,,3,4,,,,9
1823,,,,,,18,6,,,9,30
1726,,,,,1,9,,,,2,9
1589,,,,,,2,1,,,,50
1413,,,,,,,,,,1,
1713,,,,,,7,2,,1,1,1
1955,,,853,1,,1251,3,,,11,158
1950,,,172,1,1,64,14,,1,18,244
1947,,,209,2,3,33,7,,,23,264
1946,,,136,17,1,45,6,,,20,251
1948,,,291,1,1,23,8,,,12,237
1949,,,225,1,,20,8,,,13,210
1953,,1,319,2,,104,4,,,16,226
1986,,3,125,,1,67,12,,,6,116
1945,,,175,2,3,52,7,,,28,252
1704,,,,,2,8,2,,,,2
1688,,,,,,3,1,,,,7
1718,,,,,,5,,,,,
1695,,,,,1,14,,,,2,5
1689,,,,,,4,,,,,
1682,,,,,,3,,,,,23
1813,,,1,,,10,,,,4,9
1711,,,,,,5,2,,,1,6
1414,,,,,,1,,,,,
1270,,,,,1,17,,,,2,
1409,,,,,,1,,,,,
1239,,,,,,1,,,,,
1265,,,,,,1,,,,,
1350,,,,,,3,,,,,
1602,,,,1,,4,,,,,34
1385,,,,,,2,,,,,
1290,,,,,,1,,,,2,
1345,,,,,,1,,,,1,
1250,,,,,,3,,,,1,
1415,,,,,,,,,,4,
1576,,,,,,2,1,,,,82
1697,,,,,,,,,,,4
1817,,,,,,9,2,,1,1,25
1050,,,,,,1,,,1,,
1140,,,,,,1,,,,,
1210,,,,,,1,,,,,
1438,,,,,,,2,,,1,
1240,,,,,,1,,,,1,
1272,,,,,,,,,,2,
1370,,,,,,,1,,,1,
1315,,,,,,,,,,4,
1324,,,,,,,,,,1,
1705,,,,,,7,3,,,,6
1701,,,,,1,,3,,,,14
1683,,,,,,,2,,,,2
1951,,,522,1,1,47,7,,,9,180
1952,,1,316,2,2,15,3,,,14,200
1320,,,,,,1,,,,1,
1300,,,,,,,2,,,,
1556,,,,,,2,17,,,,17
1966,,,75,9,4,36,12,,,17,312
1954,,,360,1,,30,10,,,5,118
1693,,,,,1,3,,,,,
1712,,,,,,9,1,,,,4
1717,,,,,,5,2,,,1,2
1456,,,,,,,4,,,1,
1427,,,,,,,1,,,,
1419,,,,,,,1,,,,
1469,,,,,,,1,,,,
1467,,,,,,,12,,,1,3
1436,,,,,,,2,,,,
1443,,,,,,,2,,,,
1444,,,,,,,7,,,,
1447,,,,,,,6,,,,
1463,,,,,,,9,,,,1
1464,,,,,,,5,,,,1
1437,,,,,,,2,,,,
1454,,,,,,1,6,,,,
1459,,,,,,,2,,,1,
1564,,,,,,8,4,,,1,44
1591,,,,,,5,5,,,,12
1402,,,,,,,4,,,,
1568,,,,,1,2,5,,,,6
1958,,,433,1,1,25,5,,,21,253
1957,,,205,3,,31,7,,,7,193
1956,,,971,,1,47,6,,,6,125
1357,,,,,,,2,,,,
1321,,,,,,,1,,,,
1100,,,,,,2,,,1,,
1225,,,,,,1,,,,,
1963,,,183,5,2,38,11,,,11,313
1962,,,180,2,3,34,15,,,23,279
1959,,,145,3,2,34,3,,,16,238
1964,,,244,11,3,23,15,,,26,227
1961,,,171,3,,41,9,,,18,255
1960,,,175,1,3,36,9,,,8,190
1563,,,,,,2,,,,,12
1699,,,,,1,22,4,,,,4
1965,,,129,5,1,39,15,,1,21,338
1432,,,,,,,,,,1,
1967,,,94,4,,53,16,,,7,373
1969,,,119,5,20,104,21,,1,19,502
1709,,,,,,6,1,,,1,
1970,,,198,7,30,79,15,,1,12,347
1115,,,,,,,,,1,,
1426,,,,,,,,,1,,
1971,,,141,,75,65,25,,1,8,235
1972,,,139,3,28,64,21,,,13,286
1431,,,,,,2,,,,,
1973,,,217,4,7,113,5,,,12,276
1974,,2,128,4,5,70,14,,,11,156
1975,,,206,8,4,80,10,,1,11,230
1976,,3,100,,,39,13,,,8,393
1968,,,111,17,5,59,15,,,17,387
1977,,,214,3,10,31,13,,1,8,158
1978,,,212,11,1,31,17,,,8,144
1722,,,,,1,2,,,,1,21
1979,,,133,1,,41,7,,,8,114
1691,,,,,,6,,,,,9
1980,,,271,2,1,49,5,,1,4,171
1981,,,96,6,,24,12,,,5,222
1694,,,,,1,1,,,,,9
1982,,,150,3,1,29,17,,1,8,130
1708,,,,,,4,2,,,,2
1604,,,,,,1,,,,1,10
1984,,,133,1,1,32,2,,,2,108
1983,,,98,4,1,77,8,,,6,118
1985,,,143,13,,29,12,,,8,102
1987,,,179,,1,43,4,,,7,122
1988,,,104,2,,19,7,,1,6,120
1989,,,186,2,,30,8,,1,9,102
1686,,,,,,1,,,,,2
1990,,,128,1,,12,21,,,5,160
1992,,,133,2,,14,3,,,5,88
1706,,,,,,1,,,,,2
1993,,,148,,2,21,4,,,1,141
1994,,,58,,1,22,7,,,3,100
1995,,,85,1,,33,4,,,3,142
1364,,,,,,,1,,,,
1996,,2,71,1,,14,6,,,6,122
1692,,,,,,,,,,,3
1997,,,98,2,2,24,5,1,,4,149
1998,,,92,,1,10,5,,,5,76
1999,,,322,4,,23,,,,1,116
1433,,,,,,,1,,,,
2000,,,91,,3,9,,1,,,90
2001,,,55,,,14,1,,,1,118
2002,,,68,,,6,1,,1,4,45
1000,,,,,,1,,,,,
2003,,,63,9,1,4,,,3,1,44
1412,,,,,,3,,,,,
2004,,,116,7,,9,1,,,1,81
2005,,,114,,,16,5,1,,2,17
2006,,,43,,,8,1,,,2,50
1304,,,,,1,,,,,,
2007,,,81,1,9,6,1,,,6,45
2008,,,46,1,1,3,3,1,,2,53
1285,,,,,,1,,,,,
2009,,,85,1,1,5,,1,,3,12
2010,,,33,,1,4,,,,1,17
2011,,,15,,2,3,1,,,4,4
2012,,,49,2,2,,1,,,,10
2013,,,30,,2,5,2,,,4,3
2014,,,36,3,1,4,2,,,1,6
2015,,,56,,,,1,,,2,7
2016,,,13,,1,,,,,1,9
2017,,,16,1,2,3,1,,,5,5
2018,,,5,,1,2,2,,,1,5
2019,,,13,,,,1,,2,2,1
2021,,,5,,,,,,,4,9
2020,,,17,1,1,,2,,,5,1
2022,,,2,,,,,,,,
